FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,Annual,BMU,Bermuda,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,98019.9,104561.0,102560.0,105643.0,107803.0,109335.0,115171.0,118691.0,115943.0,108963.0,105969.0,101990.0,96711.1,96549.8,93042.3,93859.9,93265.1,96437.2,95639.2,95519.9,88618.1,92319.7,98145.2,103052.0,105323.0
A,Annual,BOL,Bolivia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,6146.0,6145.0,6193.3,6255.5,6407.8,6579.3,6778.4,6967.6,7272.2,7392.2,7571.7,7837.5,8108.2,8524.0,8851.7,9141.9,9390.8,9642.8,9907.1,9985.2,9001.0,9454.2,9681.7,9844.0,9844.3
A,Annual,BRA,Brazil,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,14005.3,14016.1,14265.9,14259.4,14911.3,15221.0,15657.5,16440.6,17113.4,16939.4,18062.2,18627.8,18832.2,19241.5,19183.2,18357.1,17620.9,17724.5,17917.7,18018.6,17327.5,18075.7,18554.0,19079.8,19647.9
A,Annual,BRB,Barbados,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,18851.6,18380.3,18404.1,18689.3,18845.2,19488.0,20571.8,20900.0,20922.4,19770.5,19253.4,19050.6,18936.1,18695.7,18665.2,18464.7,18754.7,18740.3,18484.7,18572.5,15749.0,15683.9,18469.6,19224.5,19945.7
A,Annual,BRN,Brunei Darussalam,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,100323.0,99680.8,101572.0,103227.0,101498.0,99795.7,102249.0,96752.6,91275.5,87875.8,88586.5,90279.7,89718.5,86606.7,83310.6,81910.2,78880.6,78966.9,78099.1,80228.2,80280.9,78248.8,76357.8,76616.7,79184.1
A,Annual,BTN,Bhutan,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,5287.6,5545.6,5991.3,6323.5,6518.0,6850.8,7140.9,8195.1,8470.0,9019.1,9985.3,10714.7,11143.9,11212.5,11744.5,12400.3,13321.0,13482.3,13854.9,14555.2,12979.9,13458.8,14061.3,14645.3,
A,Annual,BWA,Botswana,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,13185.8,12949.6,13479.7,13857.3,13984.8,14362.0,15275.6,15850.2,16040.3,13490.0,14545.0,15236.7,14957.6,16369.4,17052.2,15995.0,16905.6,17352.9,17825.0,18106.0,16289.4,17960.6,18647.4,18932.5,18068.5
A,Annual,CAF,Central African Republic,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,1245.8,1272.9,1290.4,1191.9,1236.3,1219.6,1251.9,1284.6,1283.3,1402.7,1479.4,1517.1,1578.0,996.9,1001.9,1043.9,1073.9,1103.9,1125.7,1145.1,1136.6,1128.6,1136.8,1132.7,1111.7
A,Annual,CAN,Canada,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,48399.3,48774.2,49695.0,50139.8,51210.7,52356.6,53195.8,53761.9,53711.7,51552.4,52558.4,53681.1,54034.8,54712.2,55723.5,55660.9,55606.2,56612.3,57337.5,57583.8,54092.9,56995.1,58321.1,57517.4,56691.9
A,Annual,CHE,Switzerland,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,67378.4,68008.3,67446.4,66926.2,68263.4,69692.6,72077.9,74234.3,75355.2,72709.8,74290.3,74800.9,74883.6,75354.2,76189.6,76566.1,77301.2,77626.9,79261.4,79596.7,77324.9,81001.4,82777.3,82302.0,82026.4
A,Annual,CHL,Chile,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,17525.3,17870.3,18240.2,18902.9,19962.0,20918.5,21968.5,22878.9,23509.8,23013.6,24116.8,25366.3,26670.5,27291.4,27505.0,27811.4,27958.7,27893.0,28492.7,28218.5,26248.6,29089.9,29569.5,29563.7,30182.8
A,Annual,CIV,Cote d'Ivoire,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,4838.3,4609.1,4368.9,4060.0,4088.9,4032.2,4049.3,3999.7,4096.7,4151.1,4338.7,4017.4,4234.2,4597.2,4907.6,5110.9,5320.8,5556.1,5670.2,5894.9,5787.8,6045.2,6272.3,6511.8,6733.2
A,Annual,CMR,Cameroon,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,3822.9,3884.9,3951.4,4054.8,4223.0,4199.7,4241.5,4302.6,4300.3,4286.6,4286.6,4307.9,4382.1,4473.6,4588.5,4698.7,4767.1,4798.0,4851.5,4882.4,4763.5,4793.6,4843.7,4870.6,4919.1
A,Annual,COD,"Congo, Dem. Rep.",FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,886.7,841.0,839.8,861.1,892.4,918.5,938.0,967.1,996.7,994.0,1031.3,1066.6,1104.7,1158.3,1225.7,1267.9,1253.2,1253.2,1282.5,1296.9,1277.6,1313.6,1385.5,1456.5,1504.1
A,Annual,COG,"Congo, Rep.",FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,7570.6,7567.4,7729.4,7577.5,7577.4,7876.1,8192.6,7375.8,7587.3,8138.5,8583.7,8492.4,9079.7,8798.5,9159.3,8977.7,8001.8,7372.8,7029.3,6939.4,6350.5,6263.2,6205.1,6172.3,6181.5
A,Annual,COL,Colombia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,10813.5,10823.5,10925.1,11183.3,11607.9,11999.3,12636.6,13318.3,13591.1,13586.8,14037.1,14852.4,15279.5,15912.2,16480.4,16821.4,17003.2,16986.0,17104.1,17336.8,15861.5,17383.1,18458.7,18383.0,18503.7
A,Annual,COM,Comoros,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,2408.4,2414.4,2418.8,2422.6,2422.7,2441.1,2455.7,2426.5,2473.1,2581.7,2652.4,2753.0,2868.4,3059.1,3109.9,3105.6,3127.1,3237.0,3303.3,3357.9,3424.5,3449.0,3478.2,3516.5,3567.5
A,Annual,CPV,Cabo Verde,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,4510.1,4540.9,4710.2,4841.3,5268.3,5565.8,5941.4,6767.4,7169.1,6994.6,7072.1,7325.8,7397.8,7440.7,7491.0,7560.1,7881.3,8234.6,8531.1,9111.6,7207.9,7685.4,8850.1,9281.0,9907.6
A,Annual,CRI,Costa Rica,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,14018.7,14250.5,14496.0,14891.3,15323.3,15704.0,16620.1,17743.6,18334.0,17932.6,18660.9,19254.9,19960.8,20232.3,20724.9,21254.8,21925.6,22622.6,23005.3,23364.8,22211.9,23852.9,24831.7,25979.6,26973.4
A,Annual,CYP,Cyprus,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,36122.7,37147.9,38091.9,38618.9,40021.1,41363.3,42596.4,43825.0,44296.9,42254.6,42103.5,41213.9,39191.3,36694.8,36442.0,37903.1,40209.9,42128.6,44227.9,46195.6,44203.9,48781.3,51588.4,52190.9,53252.5
A,Annual,CZE,Czechia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,29427.4,30399.9,30919.5,31949.3,33452.3,35535.7,37786.9,39629.0,40328.3,38175.1,39097.4,39708.2,39347.0,39317.6,40158.0,42066.6,43069.5,45177.5,46301.1,47763.6,45119.9,47796.0,48390.7,47509.5,47961.8
A,Annual,DEU,Germany,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,49979.1,50711.7,50510.9,50215.4,50810.1,51289.3,53327.0,54941.6,55547.3,52600.2,54865.4,57992.4,58158.1,58223.6,59239.3,59699.3,60578.3,61991.5,62495.5,62970.7,60342.7,62530.8,62932.0,62686.5,62829.8
A,Annual,DJI,Djibouti,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,4469.1,4705.0,4961.9,5226.5,5422.0,5590.5,5809.3,5791.5,5960.1,6180.7,6545.1,6841.2
A,Annual,DMA,Dominica,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,14054.7,14091.5,13640.7,14398.0,14962.2,15080.5,15727.7,16560.5,17738.0,17534.0,17516.8,17475.0,17431.1,17282.6,17520.9,16920.9,17364.1,16314.2,16877.1,17619.4,14919.5,15809.0,17550.8,18278.2,18739.4
A,Annual,DNK,Denmark,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,57432.0,57770.2,57848.8,57946.2,59401.3,60635.6,62743.2,63082.2,62451.1,59027.8,59696.4,60230.4,60000.9,60583.4,61047.3,61893.2,63299.3,64815.7,65694.8,66580.2,65204.5,69715.2,70233.6,71454.5,73709.0
A,Annual,DOM,Dominican Republic,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,10896.3,10991.1,11313.1,11000.9,11131.3,12022.5,12961.9,13754.9,14030.1,13992.4,14975.0,15258.1,15487.3,16054.8,16993.6,17973.2,18969.0,19501.9,20662.8,21451.3,19545.4,22053.5,22987.0,23282.5,24229.5
A,Annual,DZA,Algeria,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,11558.2,11742.6,12213.1,12835.2,13226.8,13738.5,13920.7,14114.7,14206.8,14104.4,14496.4,14642.0,14697.5,14778.2,15073.8,15239.5,15511.7,15427.7,15343.4,15199.2,14194.2,14496.9,14782.2,15159.3,15442.1
A,Annual,ECU,Ecuador,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,9183.1,9405.1,9697.6,9802.8,10290.7,10660.2,10933.5,10952.8,11474.5,11403.5,11665.7,12449.1,12961.0,13689.2,14064.8,13881.6,13586.5,14179.2,14083.5,13870.5,12440.3,13507.4,14186.6,14343.0,13935.5
A,Annual,EGY,"Egypt, Arab Rep.",FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,9981.6,10117.3,10143.5,10250.4,10451.8,10700.6,11211.8,11782.0,12391.6,12728.1,13129.0,13082.4,13076.8,13058.1,13136.4,13425.9,13727.3,14018.4,14488.2,15026.6,15309.2,15579.0,16360.4,16691.4,16798.2
A,Annual,ESP,Spain,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,39945.9,41224.3,41766.0,42223.1,42793.4,43570.8,44572.7,45301.3,44926.3,42852.2,42695.5,42271.8,41034.0,40594.9,41339.4,43053.8,44274.7,45446.3,46325.2,46896.4,41553.4,44251.7,46649.6,47341.2,48373.0
A,Annual,EST,Estonia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,20739.4,22099.3,23781.7,25749.3,27665.3,30473.8,33646.6,36359.5,34588.6,29585.1,30379.1,32789.4,34115.4,34838.4,36090.5,36729.8,37854.8,39939.5,41273.2,42652.5,41340.8,44251.5,43690.4,41706.5,41546.1
A,Annual,ETH,Ethiopia,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,810.3,851.3,838.3,795.8,877.1,952.1,1024.7,1109.1,1193.7,1262.5,1381.2,1492.5,1576.8,1696.9,1821.4,1957.4,2084.8,2222.8,2311.2,2438.0,2516.5,2588.4,2655.6,2758.0,2884.3
A,Annual,FIN,Finland,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,46968.8,48099.3,48792.5,49655.5,51494.7,52744.0,54654.0,57313.3,57494.6,52599.1,54017.9,55053.4,53957.7,53183.4,52710.7,52782.5,53984.6,55637.2,56226.3,56922.5,55424.9,56790.4,57068.3,56246.4,55628.7
A,Annual,FJI,Fiji,FAO_FS_22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",INT_USD_CAP,International Dollar per capita,FAO_FS,Suite of Food Security Indicators,0,Units,A,Normal value,PU,Public,9426.1,9516.3,9724.1,9728.0,10148.9,10127.1,10222.2,10051.0,10092.2,9910.2,10167.3,10413.0,10537.7,11019.3,11621.1,12131.1,12419.8,13090.5,13613.0,13567.5,11255.0,10685.2,12762.3,13652.5,14104.4
