Date,Event Public Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
2025-09-13,"13 September 2025: A group of people seeking aid near an aid distribution centre were fired upon by Israeli forces, killing four Palestinians and injuring three others. ",OPT,PSE,Gaza Strip,31.4705461623,34.432179348,(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118813,2025-10-14,2025-10-14
2025-09-12,"12 September 2025: A Palestinian was killed and an unspecified number of others injured by Israeli forces gunfire while waiting for humanitarian aid. _x000D_
",OPT,PSE,Gaza Strip,31.2756165942,34.2546757863,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118670,2025-10-11,2025-10-14
2025-09-12,"12 September 2025: Aid seekers were fired upon by Israeli forces, killing 17 people and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118730,2025-10-12,2025-10-13
2025-03-26,"26 March 2025: The vicinity of a charitable field kitchen in a camp was struck by an Israeli drone strike. Four people were killed, including a kitchen worker, and 15 people were injured.",OPT,PSE,Gaza Strip,31.4482157917,34.393408289,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems","Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95347,2025-04-30,2025-09-18
2025-09-11,"11 September 2025: Two Palestinians were killed while waiting to receive humanitarian aid. _x000D_
",OPT,PSE,Gaza Strip,31.2756165942,34.2546757863,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118669,2025-10-11,2025-10-14
2025-09-11,"11 September 2025: At least 17 Palestinian aid seekers were killed, and an unspecified number of others were injured while waiting for supply trucks.",OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118728,2025-10-12,2025-10-13
2025-09-11,11 September 2025: At least 9 aid seekers were killed by Israeli forces airstrike.,OPT,PSE,Gaza Strip,31.54977,34.5024697,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118729,2025-10-12,2025-10-13
2025-09-11,"11 September 2025: A group of aid seekers were fired upon by Israeli forces, killing four Palestinians and injuring over 47 others.  ",OPT,PSE,Gaza Strip,31.4851626,34.4146933,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118811,2025-10-14,2025-10-14
2025-09-11,"11 September 2025: A group of aid seekers in a camp were hit by Israeli forces, killing a Palestinian and injuring an unspecified number of others. ",OPT,PSE,Gaza Strip,31.4482157917,34.393408289,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118812,2025-10-14,2025-10-14
2025-09-11,11 September 2025: Four Palestinians were killed and 49 others injured by Israeli forces while seeking aid near a distribution site.,OPT,PSE,Gaza Strip,31.4543663119,34.4114971688,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118896,2025-10-16,2025-10-16
2025-09-25,"25 September 2025: Near a market, airstrikes were carried out by Israeli forces.",OPT,PSE,Gaza Strip,31.504,34.4639,(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,118048,2025-10-05,2025-10-05
2025-09-10,"10 September 2025: While waiting for humanitarian aid, one person was killed during Israeli airstrikes.",OPT,PSE,Gaza Strip,31.3443293,34.3095897,"(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118659,2025-10-11,2025-10-11
